panelist,session,rank,product,cocoa_a,milk_a,cocoa_f,milk_f,caramel,vanilla,sweetness,acidity,bitterness,astringency,crunchy,melting,sticky,granular
id_001,session_01,order_01,choc6,7,6,6,5,5,3,7,2,4,5,8,3,4,3
id_001,session_01,order_06,choc3,6,7,2,7,8,4,7,2,2,3,3,8,6,5
id_001,session_01,order_03,choc2,8,6,5,4,7,4,5,5,6,6,7,5,4,3
id_001,session_01,order_05,choc1,7,8,8,3,3,2,4,7,8,6,3,2,3,5
id_001,session_01,order_02,choc4,8,5,4,4,4,4,5,6,6,4,6,3,7,3
id_001,session_01,order_04,choc5,7,5,3,5,6,2,5,4,7,4,6,6,4,7
id_002,session_01,order_01,choc4,6,1,8,1,0,0,1,0,3,0,8,5,0,0
id_002,session_01,order_04,choc3,4,2,3,4,0,0,5,0,0,0,4,8,3,1
id_002,session_01,order_03,choc6,5,1,8,1,0,0,1,0,3,0,6,2,1,1
id_002,session_01,order_05,choc2,5,2,8,1,0,0,0,0,6,0,8,2,4,0
id_002,session_01,order_02,choc5,4,1,7,1,0,0,1,0,4,0,5,1,1,6
id_002,session_01,order_06,choc1,6,1,8,0,0,0,0,4,7,0,8,2,2,0
id_003,session_01,order_05,choc3,5,3,2,9,6,7,10,0,1,2,1,6,3,2
id_003,session_01,order_01,choc2,8,1,6,2,6,1,5,2,5,2,7,4,2,3
id_003,session_01,order_02,choc6,5,6,5,3,3,2,3,4,4,3,7,7,2,3
id_003,session_01,order_03,choc1,8,2,8,1,3,1,2,7,8,6,8,8,3,1
id_003,session_01,order_06,choc5,7,2,7,3,6,3,4,6,6,3,5,2,2,6
id_003,session_01,order_04,choc4,6,1,5,0,5,2,4,3,3,3,5,4,4,6
id_004,session_01,order_03,choc3,5,8,7,9,7,7,9,1,3,1,5,7,7,1
id_004,session_01,order_02,choc2,10,0,6,2,8,3,1,9,7,6,10,1,2,8
id_004,session_01,order_05,choc5,9,3,7,6,7,6,7,7,7,2,5,5,8,7
id_004,session_01,order_01,choc1,9,2,9,1,6,0,2,8,10,10,9,0,7,9
